iter	MAE
0	90577.58055
1	69553.26515
2	55186.16525
3	45397.58178
4	38805.10329
5	34784.75371
6	31982.74611
7	30347.47508
8	29219.61266
9	27995.46439
10	27222.98459
11	26739.32569
12	26339.3472
13	26079.31102
14	25874.94418
15	25727.94545
16	25170.82335
17	25048.22417
18	24550.66347
19	24300.41917
20	24210.39185
21	24059.74193
22	23896.10171
23	23725.29466
24	23630.44546
25	23515.03734
26	23359.59811
27	23306.00598
28	23215.52699
29	23080.88702
30	22827.59579
31	22784.4341
32	22613.92882
33	22565.39979
34	22530.01702
35	22457.86832
36	22376.71941
37	22334.2835
38	22177.73871
39	21998.27836
40	21807.33087
41	21653.50907
42	21537.38093
43	21458.43757
44	21279.90055
45	21174.90939
46	21106.99748
47	21000.13536
48	20888.0168
49	20821.64638
50	20787.51169
51	20752.92511
52	20730.82751
53	20708.14386
54	20687.91128
55	20643.92723
